protocol,round,alive_nodes,dead_nodes,total_energy_j,cluster_heads,avg_cluster_size,max_cluster_size,tx_packets_to_base,tx_packets_to_heads
Direct,1,100,0,49.94551199,0,0.0000,0,100,0
Direct,2,100,0,49.89102397,0,0.0000,0,100,0
Direct,3,100,0,49.83653596,0,0.0000,0,100,0
Direct,4,100,0,49.78204794,0,0.0000,0,100,0
Direct,5,100,0,49.72755993,0,0.0000,0,100,0
Direct,6,100,0,49.67307191,0,0.0000,0,100,0
Direct,7,100,0,49.61858390,0,0.0000,0,100,0
Direct,8,100,0,49.56409589,0,0.0000,0,100,0
Direct,9,100,0,49.50960787,0,0.0000,0,100,0
Direct,10,100,0,49.45511986,0,0.0000,0,100,0
Direct,11,100,0,49.40063184,0,0.0000,0,100,0
Direct,12,100,0,49.34614383,0,0.0000,0,100,0
Direct,13,100,0,49.29165582,0,0.0000,0,100,0
Direct,14,100,0,49.23716780,0,0.0000,0,100,0
Direct,15,100,0,49.18267979,0,0.0000,0,100,0
Direct,16,100,0,49.12819177,0,0.0000,0,100,0
Direct,17,100,0,49.07370376,0,0.0000,0,100,0
Direct,18,100,0,49.01921574,0,0.0000,0,100,0
Direct,19,100,0,48.96472773,0,0.0000,0,100,0
Direct,20,100,0,48.91023972,0,0.0000,0,100,0
Direct,21,100,0,48.85575170,0,0.0000,0,100,0
Direct,22,100,0,48.80126369,0,0.0000,0,100,0
Direct,23,100,0,48.74677567,0,0.0000,0,100,0
Direct,24,100,0,48.69228766,0,0.0000,0,100,0
Direct,25,100,0,48.63779965,0,0.0000,0,100,0
Direct,26,100,0,48.58331163,0,0.0000,0,100,0
Direct,27,100,0,48.52882362,0,0.0000,0,100,0
Direct,28,100,0,48.47433560,0,0.0000,0,100,0
Direct,29,100,0,48.41984759,0,0.0000,0,100,0
Direct,30,100,0,48.36535957,0,0.0000,0,100,0
Direct,31,100,0,48.31087156,0,0.0000,0,100,0
Direct,32,100,0,48.25638355,0,0.0000,0,100,0
Direct,33,100,0,48.20189553,0,0.0000,0,100,0
Direct,34,100,0,48.14740752,0,0.0000,0,100,0
Direct,35,100,0,48.09291950,0,0.0000,0,100,0
Direct,36,100,0,48.03843149,0,0.0000,0,100,0
Direct,37,100,0,47.98394347,0,0.0000,0,100,0
Direct,38,100,0,47.92945546,0,0.0000,0,100,0
Direct,39,100,0,47.87496745,0,0.0000,0,100,0
Direct,40,100,0,47.82047943,0,0.0000,0,100,0
Direct,41,100,0,47.76599142,0,0.0000,0,100,0
Direct,42,100,0,47.71150340,0,0.0000,0,100,0
Direct,43,100,0,47.65701539,0,0.0000,0,100,0
Direct,44,100,0,47.60252738,0,0.0000,0,100,0
Direct,45,100,0,47.54803936,0,0.0000,0,100,0
Direct,46,100,0,47.49355135,0,0.0000,0,100,0
Direct,47,100,0,47.43906333,0,0.0000,0,100,0
Direct,48,100,0,47.38457532,0,0.0000,0,100,0
Direct,49,100,0,47.33008730,0,0.0000,0,100,0
Direct,50,100,0,47.27559929,0,0.0000,0,100,0
Direct,51,100,0,47.22111128,0,0.0000,0,100,0
Direct,52,100,0,47.16662326,0,0.0000,0,100,0
Direct,53,100,0,47.11213525,0,0.0000,0,100,0
Direct,54,100,0,47.05764723,0,0.0000,0,100,0
Direct,55,100,0,47.00315922,0,0.0000,0,100,0
Direct,56,100,0,46.94867121,0,0.0000,0,100,0
Direct,57,100,0,46.89418319,0,0.0000,0,100,0
Direct,58,100,0,46.83969518,0,0.0000,0,100,0
Direct,59,100,0,46.78520716,0,0.0000,0,100,0
Direct,60,100,0,46.73071915,0,0.0000,0,100,0
Direct,61,100,0,46.67623113,0,0.0000,0,100,0
Direct,62,100,0,46.62174312,0,0.0000,0,100,0
Direct,63,100,0,46.56725511,0,0.0000,0,100,0
Direct,64,100,0,46.51276709,0,0.0000,0,100,0
Direct,65,100,0,46.45827908,0,0.0000,0,100,0
Direct,66,100,0,46.40379106,0,0.0000,0,100,0
Direct,67,100,0,46.34930305,0,0.0000,0,100,0
Direct,68,100,0,46.29481503,0,0.0000,0,100,0
Direct,69,100,0,46.24032702,0,0.0000,0,100,0
Direct,70,100,0,46.18583901,0,0.0000,0,100,0
Direct,71,100,0,46.13135099,0,0.0000,0,100,0
Direct,72,100,0,46.07686298,0,0.0000,0,100,0
Direct,73,100,0,46.02237496,0,0.0000,0,100,0
Direct,74,100,0,45.96788695,0,0.0000,0,100,0
Direct,75,100,0,45.91339894,0,0.0000,0,100,0
Direct,76,100,0,45.85891092,0,0.0000,0,100,0
Direct,77,100,0,45.80442291,0,0.0000,0,100,0
Direct,78,100,0,45.74993489,0,0.0000,0,100,0
Direct,79,100,0,45.69544688,0,0.0000,0,100,0
Direct,80,100,0,45.64095886,0,0.0000,0,100,0
Direct,81,100,0,45.58647085,0,0.0000,0,100,0
Direct,82,100,0,45.53198284,0,0.0000,0,100,0
Direct,83,100,0,45.47749482,0,0.0000,0,100,0
Direct,84,100,0,45.42300681,0,0.0000,0,100,0
Direct,85,100,0,45.36851879,0,0.0000,0,100,0
Direct,86,100,0,45.31403078,0,0.0000,0,100,0
Direct,87,100,0,45.25954277,0,0.0000,0,100,0
Direct,88,100,0,45.20505475,0,0.0000,0,100,0
Direct,89,100,0,45.15056674,0,0.0000,0,100,0
Direct,90,100,0,45.09607872,0,0.0000,0,100,0
Direct,91,100,0,45.04159071,0,0.0000,0,100,0
Direct,92,100,0,44.98710269,0,0.0000,0,100,0
Direct,93,100,0,44.93261468,0,0.0000,0,100,0
Direct,94,100,0,44.87812667,0,0.0000,0,100,0
Direct,95,100,0,44.82363865,0,0.0000,0,100,0
Direct,96,100,0,44.76915064,0,0.0000,0,100,0
Direct,97,100,0,44.71466262,0,0.0000,0,100,0
Direct,98,100,0,44.66017461,0,0.0000,0,100,0
Direct,99,100,0,44.60568659,0,0.0000,0,100,0
Direct,100,100,0,44.55119858,0,0.0000,0,100,0
