protocol,round,alive_nodes,dead_nodes,total_energy_j,cluster_heads,avg_cluster_size,max_cluster_size,tx_packets_to_base,tx_packets_to_heads
LEACH,1,100,0,49.95430435,6,16.6667,26,6,94
LEACH,2,100,0,49.90821390,3,33.3333,38,3,97
LEACH,3,100,0,49.86257025,6,16.6667,27,6,94
LEACH,4,100,0,49.81912064,8,12.5000,19,8,92
LEACH,5,100,0,49.77516520,8,12.5000,19,8,92
LEACH,6,100,0,49.72989301,5,20.0000,31,5,95
LEACH,7,100,0,49.68380343,3,33.3333,47,3,97
LEACH,8,100,0,49.63781661,3,33.3333,40,3,97
LEACH,9,100,0,49.59307927,4,25.0000,40,4,96
LEACH,10,100,0,49.54770532,6,16.6667,32,6,94
LEACH,11,100,0,49.50088243,5,20.0000,25,5,95
LEACH,12,100,0,49.45618243,5,20.0000,34,5,95
LEACH,13,100,0,49.41076344,5,20.0000,30,5,95
LEACH,14,100,0,49.36641546,7,14.2857,19,7,93
LEACH,15,100,0,49.32042808,6,16.6667,28,6,94
LEACH,16,100,0,49.27044663,2,50.0000,67,2,98
LEACH,17,100,0,49.22358554,5,20.0000,45,5,95
LEACH,18,100,0,49.17591701,2,50.0000,51,2,98
LEACH,19,100,0,49.12929291,4,25.0000,56,4,96
LEACH,20,100,0,49.08461243,7,14.2857,19,7,93
LEACH,21,100,0,49.02809857,1,100.0000,100,1,99
LEACH,22,100,0,48.96554252,1,100.0000,100,1,99
LEACH,23,100,0,48.91557327,1,100.0000,100,1,99
LEACH,24,100,0,48.86459379,1,100.0000,100,1,99
LEACH,25,100,0,48.80577142,1,100.0000,100,1,99
LEACH,26,100,0,48.75980978,3,33.3333,44,3,97
LEACH,27,100,0,48.71393412,3,33.3333,57,3,97
LEACH,28,100,0,48.64916031,1,100.0000,100,1,99
LEACH,29,100,0,48.60451363,4,25.0000,32,4,96
LEACH,30,100,0,48.55913382,4,25.0000,31,4,96
LEACH,31,100,0,48.50941202,3,33.3333,56,3,97
LEACH,32,100,0,48.46465818,5,20.0000,30,5,95
LEACH,33,100,0,48.41894831,6,16.6667,35,6,94
LEACH,34,100,0,48.37190846,4,25.0000,52,4,96
LEACH,35,100,0,48.32378330,5,20.0000,38,5,95
LEACH,36,100,0,48.27872864,8,12.5000,31,8,92
LEACH,37,100,0,48.23400750,6,16.6667,28,6,94
