round,alive_nodes,total_energy_j,cluster_heads,first_dead_round,half_dead_round,all_dead_round
1,100,49.92209842,6,,,
2,100,49.72831282,1,,,
3,100,49.64484545,8,,,
4,100,49.55076665,5,,,
5,100,49.43665260,8,,,
6,100,49.33745736,2,,,
7,100,49.24006604,12,,,
8,100,49.15589862,6,,,
9,100,49.05164196,2,,,
10,100,48.92856289,1,,,
11,100,48.81618890,4,,,
12,100,48.72935766,3,,,
13,100,48.60426398,1,,,
14,100,48.50062153,6,,,
15,100,48.41086710,10,,,
16,100,48.28723053,6,,,
17,100,48.18135568,4,,,
18,100,48.07643949,6,,,
19,100,47.95190493,6,,,
20,100,47.85158309,3,,,
21,100,47.72712012,1,,,
22,100,47.51320020,1,,,
23,100,47.31941460,1,,,
24,100,47.20361222,1,,,
25,100,47.02416286,1,,,
26,100,46.92462292,4,,,
27,100,46.83093022,2,,,
28,100,46.71621679,5,,,
29,100,46.63008340,4,,,
30,100,46.52230711,2,,,
31,100,46.34744889,2,,,
32,100,46.08547225,1,,,
33,100,45.98626742,3,,,
34,100,45.90065785,5,,,
35,100,45.80065463,5,,,
36,100,45.70868314,4,,,
37,100,45.59833809,11,,,
38,100,45.46618865,17,,,
39,100,45.36757863,12,,,
40,100,45.23420797,18,,,
41,100,45.12383933,1,,,
42,100,44.98039222,1,,,
43,100,44.74794539,1,,,
44,100,44.52031589,1,,,
45,100,44.30639596,1,,,
46,100,44.08983685,1,,,
47,100,43.89083373,1,,,
48,100,43.73246775,1,,,
49,100,43.62376742,5,,,
50,100,43.50515581,1,,,
51,100,43.36278221,2,,,
52,100,43.19483582,2,,,
53,100,43.09939016,2,,,
54,100,42.91680965,1,,,
55,100,42.82178726,5,,,
56,100,42.73251900,6,,,
57,100,42.64027248,6,,,
58,100,42.53457805,13,,,
59,100,42.41290402,18,,,
60,100,42.22051258,31,,,
61,100,42.04035506,1,,,
62,100,41.85223665,1,,,
63,100,41.70878954,1,,,
64,100,41.52686470,1,,,
65,100,41.32569938,1,,,
66,100,41.12529061,1,,,
67,100,40.94064645,1,,,
68,100,40.75784977,1,,,
69,100,40.64900596,2,,,
70,100,40.47234918,1,,,
71,100,40.20056457,1,,,
72,100,40.10723992,3,,,
73,100,39.98455496,1,,,
74,100,39.86594334,1,,,
75,100,39.73101470,3,,,
76,100,39.61640887,3,,,
77,100,39.52419633,5,,,
78,100,39.42670272,11,,,
79,100,39.29165927,18,,,
80,100,39.04783340,43,,,
81,100,38.89122917,1,,,
82,100,38.75017060,1,,,
83,100,38.56552645,1,,,
84,100,38.33789694,1,,,
85,100,38.16722682,1,,,
86,100,37.97815557,1,,,
87,100,37.79623074,1,,,
88,100,37.57532705,1,,,
89,100,37.40772002,1,,,
90,100,37.20731125,1,,,
91,100,37.03065447,1,,,
92,100,36.91215012,2,,,
93,100,36.78067816,2,,,
94,100,36.65799319,1,,,
95,100,36.54731580,4,,,
96,100,36.38941645,1,,,
97,100,36.28780571,3,,,
98,100,36.20404795,7,,,
99,100,36.09740792,15,,,
100,100,35.80068989,54,,,
